pts;ritter;toussaint
274688;8;5681
274944;9;5676
275200;9;5734
275456;10;5989
275712;11;6141
275968;10;6044
276224;9;5951
276480;11;5885
276736;13;5825
276992;10;5875
277248;11;5899
277504;10;6033
277760;10;6213
278016;12;5936
278272;10;5908
278528;9;6013
278784;10;6047
279040;10;5956
279296;10;6025
279552;13;5964
279808;9;5999
280064;9;6074
280320;9;6059
280576;10;6046
280832;10;6048
281088;10;6064
281344;10;6103
281600;10;6984
281856;10;7290
282112;10;6300
282368;11;6210
282624;10;6164
282880;10;6151
283136;10;6288
283392;9;6326
283648;9;6287
283904;10;6240
284160;11;6340
284416;12;6364
284672;10;6346
284928;10;6378
285184;11;6362
285440;11;6355
285696;10;6353
285952;11;6453
286208;11;6380
286464;10;6368
286720;11;6538
286976;11;6430
287232;13;6452
287488;11;6526
287744;12;6414
288000;10;6373
288256;10;6407
288512;13;6418
288768;10;6420
289024;10;6593
289280;10;6541
289536;11;6683
289792;13;6482
290048;11;6554
290304;11;6509
290560;10;6535
290816;10;6492
291072;14;6566
291328;10;6515
291584;10;6574
291840;10;6565
292096;10;6573
292352;13;6571
292608;10;6655
292864;10;6622
293120;10;6636
293376;9;6659
293632;13;6594
293888;11;6642
294144;9;6710
294400;10;6727
294656;11;6747
294912;10;6760
295168;10;6699
295424;11;6707
295680;10;6700
295936;10;6792
296192;11;6778
296448;14;6823
296704;10;6818
296960;11;6845
297216;10;6805
297472;10;6866
297728;10;6838
297984;10;6936
298240;11;7046
298496;10;6820
298752;10;7777
299008;11;6890
299264;11;6886
299520;14;6920
299776;11;6857
