toussaint;ritter
228352;5;3578
228608;5;3600
228864;6;3585
229120;5;3583
229376;5;3653
229632;6;3681
229888;7;3629
230144;6;3598
230400;6;3645
230656;6;3646
230912;6;3709
231168;6;3711
231424;6;3633
231680;6;3662
231936;6;3692
232192;6;3706
232448;6;3705
232704;6;3738
232960;6;3804
233216;5;3707
233472;5;3687
233728;5;3722
233984;6;3788
234240;6;3884
234496;7;3816
234752;6;3765
235008;5;3760
235264;7;3836
235520;6;3878
235776;6;3884
236032;6;3809
236288;5;3834
236544;5;3806
236800;6;3881
237056;6;3896
237312;8;4034
237568;6;3997
237824;6;3976
238080;7;3976
238336;7;3989
238592;6;3965
238848;6;4022
239104;8;4016
239360;6;3987
239616;6;3981
239872;6;4010
240128;5;4020
240384;7;4037
240640;6;4066
240896;6;3989
241152;6;4066
241408;6;4080
241664;6;4102
241920;6;4033
242176;6;4118
242432;6;4101
242688;6;4050
242944;6;4101
243200;6;4007
243456;5;4066
243712;6;4038
243968;6;4028
244224;6;4035
244480;6;4044
244736;5;4043
244992;6;4071
245248;6;4070
245504;7;4084
245760;6;4092
246016;6;4107
246272;5;4136
246528;6;4123
246784;6;4126
247040;6;4138
247296;6;4153
247552;6;4141
247808;6;4173
248064;6;4174
248320;8;4176
248576;6;4189
248832;6;4201
249088;6;4197
249344;6;4212
249600;5;4202
249856;6;4253
