toussaint,ritter,,,,,
108800,2,745,,408320,14,16298
109056,2,742,,408576,14,16319
109312,2,736,,408832,14,16328
109568,2,737,,409088,15,16356
109824,2,733,,409344,15,16349
110080,2,752,,409600,14,16373
110336,3,758,,409856,15,16373
110592,3,762,,410112,15,16393
110848,2,769,,410368,15,16413
111104,2,773,,410624,17,16414
111360,2,778,,410880,15,16420
111616,3,776,,411136,15,16435
111872,3,789,,411392,14,16448
112128,2,787,,411648,14,16395
112384,2,789,,411904,14,16408
112640,3,787,,412160,14,16513
112896,3,804,,412416,15,16519
113152,2,802,,412672,14,16547
113408,3,828,,412928,15,16550
113664,3,815,,413184,15,16559
113920,3,816,,413440,15,16575
114176,3,826,,413696,14,16584
114432,3,815,,413952,14,16607
114688,3,827,,414208,14,16536
114944,2,832,,414464,15,16567
115200,2,825,,414720,14,16589
115456,2,832,,414976,15,16589
115712,3,850,,415232,15,16607
115968,2,855,,415488,14,16613
116224,3,850,,415744,15,16717
116480,3,853,,416000,14,16732
116736,3,849,,416256,15,16664
116992,3,843,,416512,14,16680
117248,3,859,,416768,14,16680
117504,2,876,,417024,15,16712
117760,3,869,,417280,14,16725
118016,2,888,,417536,15,16718
118272,3,890,,417792,15,16729
118528,2,887,,418048,15,16729
118784,3,890,,418304,15,16860
119040,2,911,,418560,16,16900
119296,3,899,,418816,15,16900
119552,3,907,,419072,15,16827
119808,3,904,,419328,14,16916
120064,3,902,,419584,15,16926
120320,3,907,,419840,15,16931
120576,3,922,,420096,15,16945
120832,2,928,,420352,15,16967
121088,3,932,,420608,15,16959
121344,2,939,,420864,15,16997
121600,3,940,,421120,15,16985
121856,3,949,,421376,15,17002
122112,2,942,,421632,15,17020
122368,3,943,,421888,19,16937
122624,3,953,,422144,15,16984
122880,3,955,,422400,15,16993
123136,3,957,,422656,15,17014
123392,2,980,,422912,15,17034
123648,3,973,,423168,14,17108
123904,3,986,,423424,18,17123
124160,2,994,,423680,14,17147
124416,3,987,,423936,15,17154
124672,3,984,,424192,15,17168
124928,3,988,,424448,15,17191
125184,2,997,,424704,15,17197
125440,2,1007,,424960,15,17216
125696,3,1004,,425216,15,17233
125952,3,1016,,425472,14,17253
126208,3,1018,,425728,15,17262
126464,3,1020,,425984,15,17268
126720,3,1036,,,,
126976,2,1029,,,,
127232,3,1024,,,,
127488,3,1036,,,,
127744,3,1059,,,,
128000,3,1049,,,,
128256,3,1048,,,,
128512,2,1058,,,,
128768,3,1059,,,,
129024,3,1067,,,,
129280,3,1059,,,,
129536,3,1048,,,,
129792,3,1082,,,,
130048,3,1072,,,,
130304,3,1080,,,,
130560,3,1096,,,,
130816,3,1086,,,,
131072,2,1097,,,,
131328,2,1120,,,,
131584,3,1117,,,,
131840,3,1117,,,,
132096,3,1121,,,,
132352,3,1116,,,,
132608,3,1139,,,,
132864,3,1127,,,,
133120,3,1144,,,,
133376,3,1139,,,,
133632,3,1134,,,,
133888,3,1152,,,,
134144,3,1159,,,,
134400,3,1147,,,,
134656,3,1160,,,,
134912,5,1180,,,,
135168,3,1168,,,,
135424,3,1179,,,,
135680,3,1186,,,,
135936,3,1173,,,,
136192,3,1187,,,,
136448,3,1201,,,,
136704,3,1190,,,,
136960,3,1207,,,,
137216,4,1214,,,,
137472,3,1223,,,,
137728,3,1222,,,,
137984,4,1231,,,,
138240,3,1235,,,,
138496,4,1239,,,,
138752,4,1245,,,,
139008,3,1245,,,,
139264,3,1257,,,,
139520,3,1257,,,,
139776,3,1268,,,,
140032,3,1261,,,,
140288,3,1286,,,,
140544,3,1258,,,,
140800,4,1279,,,,
141056,3,1278,,,,
141312,3,1329,,,,
141568,3,1315,,,,
141824,4,1350,,,,
142080,3,1337,,,,
142336,4,1354,,,,
142592,4,1340,,,,
142848,4,1352,,,,
143104,3,1342,,,,
143360,4,1321,,,,
143616,3,1353,,,,
143872,3,1387,,,,
144128,4,1366,,,,
144384,4,1397,,,,
